Time (sec),Watt
1,85.55
2,84.87
3,84.17
4,82.29
5,83.62
6,86.19
7,86.81
8,83.6
9,82.16
10,82.21
11,82.1
12,86.62
13,83.91
14,81
15,80.77
16,79.31
17,80.63
18,83.29
19,85.82
20,83.8
21,84.02
22,82.4
23,82.99
24,83.71
25,83.49
26,83.06
27,82.82
28,82.79
29,82.54
30,82.25
31,81.93
32,81.14
33,82.09
34,82.3
35,82.93
36,82.89
37,82.75
38,82.51
39,83.18
40,82.82
41,82.84
42,82.53
43,83.86
44,83.33
45,82.87
46,83.23
47,82.21
48,81.33
49,82.98
50,82.49
51,82.86
52,83.01
53,82.54
54,81.69
55,83.04
56,82.84
57,82.16
58,84.02
59,83.44
60,83.35
,
,
,
,
