Time (sec),Watt
1,93.99
2,95.04
3,96.41
4,93.72
5,93.67
6,91.82
7,89.17
8,88.31
9,87.83
10,91.1
11,93.33
12,90.97
13,92.98
14,95.14
15,94.06
16,93.29
17,93.1
18,90.42
19,90.34
20,88.45
21,85.11
22,83.97
23,85.77
24,85.94
25,93.93
26,94.22
27,94.5
28,95.07
29,96.14
30,95.62
31,96.32
32,95.63
33,96.31
34,94.99
35,93.8
36,95.43
37,95.53
38,94.24
39,94.45
40,94.86
41,93.7
42,94.43
43,94.02
44,95.26
45,95.24
46,95.95
47,94.78
48,95.84
49,96.14
50,96.5
51,95.93
52,96.36
53,95.53
54,95.89
55,93.65
56,93.92
57,93.62
58,95.05
59,96.08
60,95.52
,
,
,
