Time (sec),Watt
1,82.41
2,80.94
3,82.02
4,82.79
5,81.41
6,81.53
7,82.99
8,82.99
9,81.69
10,81.92
11,81.01
12,82.32
13,82.49
14,82.66
15,83.05
16,83.01
17,81.48
18,81.14
19,81.63
20,83.08
21,81.75
22,82.14
23,82.6
24,83.63
25,85.38
26,85.25
27,80.45
28,81.29
29,80.29
30,80.4
31,80.68
32,81.77
33,80.66
34,81.85
35,82.19
36,81.98
37,80.92
38,81.85
39,81.54
40,82.7
41,81.06
42,81.41
43,82.53
44,82.74
45,81.64
46,81.82
47,83.13
48,82.55
49,80.76
50,82.05
51,81.14
52,81.67
53,80.71
54,80.83
55,80.29
56,81.98
57,83.17
58,80.68
59,84.54
60,83.36
