Time (sec),Watt
1,80.63
2,81.07
3,81.52
4,82.69
5,81.87
6,82.12
7,82.51
8,82.3
9,80.91
10,80.62
11,81.34
12,80.47
13,83.37
14,95.86
15,87.13
16,82.16
17,81.14
18,81.64
19,81.87
20,80.84
21,80.84
22,80.53
23,81.07
24,80.74
25,80.75
26,84.22
27,83.19
28,80.44
29,79.56
30,78.96
31,80.53
32,79.58
33,82.06
34,82.93
35,81.97
36,79.72
37,80.64
38,80.44
39,80.85
40,81.09
41,80.81
42,80.03
43,81.18
44,80.64
45,81.28
46,80.61
47,84.2
48,82.41
49,80.65
50,80.68
51,81.7
52,81.04
53,80.33
54,80.54
55,80.62
56,80.02
57,81.02
58,81.37
59,81.24
60,83.56
