Time (sec),Watt
1,86.39
2,86.63
3,89.06
4,87.97
5,88.61
6,87.22
7,87.54
8,87.25
9,88.48
10,88.29
11,86.37
12,86.43
13,87.5
14,86.92
15,87.43
16,86.58
17,87.49
18,86.67
19,86.5
20,86.26
21,86.86
22,86.06
23,86.89
24,86.42
25,86.75
26,85.64
27,86.13
28,85.64
29,85.08
30,84.36
31,85.36
32,85.57
33,85.9
34,85.01
35,86.78
36,86.85
37,86.7
38,86.82
39,87.03
40,86.91
41,87.39
42,85.59
43,87.07
44,86.38
45,87.19
46,86.33
47,85.76
48,85.84
49,86.08
50,86.59
51,86.72
52,86.86
53,87.03
54,86.81
55,86.31
56,86.42
57,86.13
58,86.12
59,90.18
60,88
