Time (sec),Watt
1,86.62
2,87.07
3,87.28
4,88.46
5,89.14
6,87.94
7,87.76
8,87.14
9,87
10,86.42
11,86.31
12,87.18
13,87.2
14,86.98
15,87.41
16,87.24
17,87.05
18,86.48
19,87.04
20,87.12
21,87.67
22,87.33
23,86.69
24,85.87
25,86.75
26,85.6
27,86.48
28,85.58
29,85.25
30,85.06
31,85.53
32,85.91
33,85.84
34,86.23
35,86.75
36,86.53
37,86.55
38,85.86
39,86.83
40,86.43
41,86.1
42,86.41
43,86.49
44,86.05
45,86.52
46,86.68
47,87.18
48,86.55
49,86.02
50,86.3
51,86.83
52,87.66
53,87.32
54,86.07
55,86.53
56,87.35
57,86.72
58,85.77
59,88.97
60,90.52
