Time (sec),Watt
1,86.6
2,81.87
3,82.06
4,81.31
5,81.29
6,84.68
7,84.56
8,82.15
9,86.26
10,83.01
11,82.85
12,82.24
13,82.6
14,85
15,85.6
16,83.12
17,82.12
18,83.08
19,82.06
20,83.48
21,84.1
22,81.31
23,84.98
24,84.92
25,82.92
26,84.05
27,85.96
28,82.48
29,80.97
30,80.36
31,82.25
32,84.56
33,86.98
34,81.05
35,85.41
36,85.97
37,84.31
38,85.26
39,86.88
40,82.15
41,85.77
42,85.06
43,82.84
44,84.59
45,86.32
46,85.81
47,87.38
48,84.31
49,83.35
50,83.02
51,85.41
52,87.77
53,82.75
54,82.75
55,80.31
56,80.31
57,79.64
58,84.18
59,88.04
60,83.24
