Time (sec),Watt
1,81.54
2,79.94
3,78.86
4,80.49
5,81.28
6,81.28
7,85.42
8,79.76
9,80.13
10,80.18
11,82.79
12,82.69
13,79.55
14,77.93
15,77.79
16,78.15
17,78.82
18,82.5
19,83.35
20,82.33
21,78.71
22,86.2
23,86.2
24,81.29
25,78.24
26,77.13
27,76.55
28,77.28
29,77.2
30,77.25
31,77.89
32,79.03
33,79.09
34,82.62
35,82.52
36,80.36
37,82.18
38,82.67
39,79.26
40,78.18
41,77.62
42,77.56
43,81.54
44,83.62
45,83.53
46,79.52
47,77.93
48,80.49
49,80.49
50,81.84
51,78.84
52,77.9
53,78.63
54,82.26
55,83.42
56,80.37
57,78
58,78.04
59,77.66
60,84.15
