Time (sec),Watt
1,85.49
2,85.24
3,85.7
4,85.7
5,85.39
6,86.35
7,84.41
8,84.03
9,84.55
10,85.47
11,84.91
12,85.19
13,84.71
14,85.28
15,84.99
16,84.5
17,84.34
18,85.15
19,84.33
20,84.2
21,83.91
22,85.05
23,83.59
24,84.07
25,83.99
26,82.76
27,83.54
28,83.13
29,82.99
30,83.65
31,84.24
32,83.74
33,84.28
34,84.13
35,84.02
36,84.02
37,84.03
38,84.22
39,84.82
40,84.32
41,83.45
42,83.75
43,84.85
44,84.65
45,84.3
46,83.96
47,84
48,84
49,84.43
50,83.93
51,84.9
52,83.87
53,84.11
54,83.78
55,84.85
56,84.14
57,83.91
58,82.72
59,83.53
60,87
