Time (sec),Watt
1,85.38
2,86.02
3,85.41
4,85.66
5,85.63
6,85.63
7,85.63
8,85.91
9,85.1
10,85.44
11,84.34
12,85.19
13,84.25
14,84.29
15,83.68
16,84.4
17,84.45
18,84.45
19,83.2
20,84.08
21,82.13
22,83.87
23,82.74
24,82.91
25,82.91
26,83.3
27,83.15
28,83.89
29,83.68
30,85.23
31,84.01
32,84.75
33,84.11
34,84.65
35,84
36,84.06
37,84.26
38,84.26
39,83.72
40,84.76
41,83.93
42,85.31
43,85.14
44,85.14
45,84.11
46,85.74
47,83.85
48,84.32
49,83.72
50,84.73
51,84.34
52,85.2
53,82.8
54,83.99
55,82.93
56,83.93
57,83.3
58,88.38
59,86.12
60,85.17
