Time (sec),Watt
1,104.96
2,102.95
3,103.06
4,102.86
5,101.75
6,103.92
7,104.29
8,106.65
9,106.71
10,105.44
11,104.8
12,104.24
13,103.61
14,102.41
15,102.22
16,102.03
17,102.99
18,103.21
19,102.33
20,103.94
21,101.88
22,101.14
23,99.99
24,99.39
25,100.12
26,99.73
27,101.21
28,100.5
29,100.31
30,100.48
31,101.48
32,102.1
33,101.84
34,100.96
35,101.51
36,101.09
37,103.81
38,103.31
39,102.73
40,101.77
41,101.44
42,103.51
43,101.94
44,102.56
45,101.64
46,102.89
47,102.93
48,103.68
49,103.45
50,103.36
51,102.5
52,103.48
53,103.97
54,102.81
55,101.65
56,101.92
57,99.74
58,102.31
59,107.09
60,112.99
