Time (sec),Watt
1,106.11
2,104.46
3,107.97
4,107.69
5,106.68
6,105.65
7,103.1
8,103.19
9,103.52
10,105.02
11,104.79
12,104.58
13,103.91
14,103.14
15,102.42
16,102.91
17,102.82
18,103.36
19,103.64
20,103.44
21,102.49
22,103.17
23,101.99
24,101.7
25,98.72
26,100.83
27,99.86
28,100.36
29,101.3
30,100.25
31,101.48
32,103.56
33,102.49
34,101.85
35,101.42
36,103.75
37,104.94
38,103.92
39,104.59
40,102.62
41,101.45
42,101.76
43,103.3
44,102.95
45,101.51
46,103.79
47,103.2
48,105.53
49,104.66
50,104.9
51,102.87
52,102.84
53,104.05
54,104.95
55,101.9
56,101.61
57,100.15
58,102.81
59,104.8
60,111.19
