Time (sec),Watt
1,84.54
2,86.59
3,84.24
4,83.1
5,83.77
6,83.92
7,83.05
8,83.3
9,82.9
10,83.65
11,83.59
12,83.25
13,83.28
14,83.09
15,83.39
16,83.06
17,83.41
18,84.13
19,82.48
20,82.48
21,82.61
22,82.47
23,82.15
24,81.31
25,81.96
26,82.6
27,81.62
28,82.66
29,82.18
30,82.45
31,82.8
32,83.06
33,82.86
34,83.13
35,83.23
36,84.23
37,82.94
38,83.66
39,82.8
40,83.24
41,82.13
42,83.59
43,83.32
44,83.07
45,83.07
46,82.32
47,82.72
48,83.71
49,82.95
50,83.16
51,82.68
52,82.25
53,82.85
54,81.99
55,82.52
56,82.22
57,82.51
58,82.1
59,85.4
60,86.29
