Time (sec),Watt
1,97.38
2,96.99
3,97.49
4,98.5
5,99.26
6,99.21
7,96.53
8,96.76
9,95.79
10,96.04
11,96.2
12,96.27
13,95.45
14,95.73
15,94.91
16,95.4
17,95.53
18,95.73
19,94.73
20,95.37
21,95.91
22,96.24
23,95.65
24,93.86
25,93.03
26,95.2
27,94.4
28,94.26
29,94.62
30,94.59
31,93.87
32,95.19
33,97.32
34,97.32
35,95.69
36,96.09
37,95.9
38,96.29
39,95.3
40,95.3
41,95.64
42,95.74
43,95.35
44,95.24
45,94.91
46,95.27
47,95.69
48,95.64
49,96.42
50,95.76
51,94.61
52,95.54
53,95.05
54,96.13
55,96.03
56,95.24
57,95.1
58,94.45
59,94.57
60,93.86
