Time (sec),Watt
1,86.54
2,85.37
3,86.03
4,85.71
5,85.71
6,85.51
7,84.94
8,84.44
9,83.95
10,84.16
11,85.12
12,85.12
13,84.2
14,84.67
15,83.35
16,84.07
17,83.79
18,84.94
19,83.7
20,84.86
21,82.84
22,84.63
23,82.1
24,83.89
25,82.5
26,83.12
27,83.85
28,84.11
29,82.9
30,83.77
31,84.13
32,82.59
33,84.42
34,84.55
35,84.57
36,84.01
37,84.04
38,83.61
39,84.66
40,84.06
41,83.82
42,84
43,83.65
44,83.65
45,84.09
46,83.84
47,84.61
48,83.96
49,83.85
50,83.85
51,83.64
52,84.85
53,84.5
54,83.86
55,83.86
56,83.03
57,82.96
58,81.8
59,84.84
60,88.51
