Time (sec),Watt
1,102.7
2,102.99
3,106.16
4,103.48
5,103.48
6,103
7,101.71
8,101.53
9,101.01
10,101.48
11,101.48
12,102.64
13,103.73
14,102.48
15,100.88
16,101
17,101.43
18,101.23
19,101.51
20,100.73
21,102.18
22,101.88
23,102.09
24,99.54
25,98.49
26,98.87
27,98.9
28,98.96
29,98.68
30,99.09
31,98.49
32,100.91
33,100.47
34,100.31
35,103.18
36,102.65
37,102.27
38,101.71
39,100.93
40,100.45
41,100.49
42,100.49
43,101.75
44,101.12
45,99.97
46,100.5
47,101.39
48,101.39
49,101.8
50,101.8
51,101.28
52,101.14
53,101.65
54,101.21
55,101.21
56,100.44
57,99.86
58,99.35
59,102.2
60,109.14
