Time (sec),Watt
1,82.87
2,83.47
3,84.08
4,81.52
5,81.11
6,84.23
7,84.61
8,82.13
9,81.96
10,81.68
11,82.24
12,81.93
13,82.16
14,81.43
15,81.61
16,81.41
17,81.41
18,81.29
19,82.25
20,83.71
21,82.72
22,81.52
23,81.18
24,81.01
25,80.7
26,80.79
27,84.19
28,84.74
29,82.63
30,81.19
31,80.84
32,81.45
33,82.28
34,81.77
35,81.33
36,80.78
37,85.12
38,83.22
39,81.64
40,81.61
41,81.3
42,81.11
43,81.57
44,80.83
45,82.13
46,84.22
47,85.21
48,82.73
49,81.67
50,81.28
51,82.06
52,81.07
53,82.53
54,81.99
55,80.87
56,80.57
57,80.68
58,80.27
59,82.83
60,86.55
