Time (sec),Watt
1,83.33
2,83.78
3,81.33
4,84.85
5,85.93
6,83.29
7,81.27
8,81.38
9,82.04
10,81.79
11,82.16
12,81.89
13,81.16
14,81.24
15,81.51
16,81.11
17,82
18,85.6
19,85.69
20,82.6
21,82.11
22,80.98
23,80.45
24,80.14
25,80.46
26,80.09
27,83.65
28,84.43
29,80.73
30,80.99
31,84.17
32,84.68
33,81.7
34,81.71
35,81.05
36,81.57
37,81.36
38,81.67
39,81.11
40,81.11
41,82.21
42,84.63
43,83.89
44,81.71
45,80.95
46,83.02
47,90.19
48,91.96
49,92.89
50,90.29
51,92.01
52,91
53,90.74
54,90.75
55,89.65
56,89.92
57,89.25
58,84.86
59,86.56
60,83.49
