Time (sec),Watt
1,89.03
2,88.87
3,91.74
4,93.88
5,93.95
6,91.75
7,91.75
8,88.23
9,87.61
10,87.1
11,87.77
12,88.68
13,87.75
14,87.68
15,87.31
16,88
17,87.23
18,87.6
19,87.56
20,87.26
21,86.99
22,86.64
23,86.64
24,86.19
25,85.7
26,86.22
27,85.59
28,87.04
29,86.18
30,85.01
31,87.2
32,87.81
33,87.68
34,86.59
35,86.12
36,87.72
37,86.79
38,87.08
39,87.06
40,86.75
41,87.07
42,87.69
43,86.4
44,87.49
45,86.99
46,87.79
47,88.4
48,87.17
49,87.17
50,87.51
51,86.69
52,88.22
53,87.38
54,86.92
55,85.03
56,86.15
57,86.12
58,86.43
59,88.78
60,95.13
