Time (sec),Watt
1,93.17
2,94.12
3,90.01
4,89.32
5,89.7
6,89.7
7,88.06
8,87.93
9,88.41
10,87.46
11,89.14
12,88.08
13,87.74
14,88.09
15,88.53
16,87.99
17,87.64
18,87.93
19,87.2
20,87.91
21,87.44
22,87.64
23,86.39
24,86.69
25,85.41
26,86.41
27,85.99
28,88.14
29,86.96
30,87.39
31,87.22
32,88.67
33,87.48
34,88.04
35,88.25
36,88.54
37,87.48
38,88.47
39,88.47
40,88.28
41,87.49
42,87.69
43,87.05
44,87.2
45,86.97
46,88.15
47,88.06
48,87.17
49,87.17
50,87.75
51,87.83
52,89.3
53,87.56
54,89.33
55,86.59
56,87.68
57,87.46
58,88.63
59,88.86
60,94.48
