Time (sec),Watt
1,85.51
2,85.1
3,84.92
4,83.75
5,86.61
6,85.22
7,83.49
8,84.11
9,82.61
10,83.78
11,83.08
12,84.06
13,82.88
14,83.32
15,83.74
16,83.82
17,83.1
18,83.87
19,83.93
20,83.7
21,83.45
22,83.08
23,82.52
24,83.26
25,82.44
26,82.81
27,83.03
28,82.55
29,82.83
30,82.41
31,82.41
32,83.02
33,82.84
34,83.22
35,82.63
36,82.74
37,82.56
38,83.05
39,83.41
40,83.54
41,82.78
42,83.27
43,83.28
44,82.83
45,83.09
46,83
47,82.58
48,82.94
49,82.32
50,82.82
51,82.83
52,83.24
53,82.59
54,82.18
55,83.13
56,81.38
57,81.85
58,82.42
59,83.55
60,86.14
