Time (sec),Watt
1,83.61
2,84.12
3,85.35
4,82.87
5,81.97
6,82.89
7,81.87
8,82.94
9,83.43
10,81.87
11,83.07
12,82.96
13,81.51
14,82.98
15,82.57
16,81.85
17,83.1
18,82.19
19,81.97
20,81.97
21,82.16
22,80.64
23,81.23
24,81.04
25,81.39
26,81.09
27,82.01
28,81.65
29,81.68
30,82.5
31,82.39
32,82.63
33,82.39
34,82.14
35,81.91
36,81.91
37,82.36
38,82.26
39,81.86
40,81.56
41,82.23
42,82.23
43,82.22
44,81.81
45,81.78
46,81.79
47,83.06
48,81.69
49,82.16
50,81.7
51,82.58
52,81.41
53,81.98
54,80.93
55,81.63
56,80.89
57,81.59
58,81.69
59,84.54
60,84.87
