Time (sec),Watt
1,94.93
2,94.5
3,94.24
4,93.8
5,94.38
6,94.76
7,95.97
8,95.21
9,95.05
10,95.09
11,93.97
12,93.65
13,93.7
14,92.43
15,93.56
16,92.59
17,93.4
18,93.83
19,93.15
20,92.44
21,92.75
22,92.3
23,92.23
24,90.45
25,88.04
26,89.53
27,90.9
28,91.47
29,91.02
30,90.92
31,91.95
32,93.02
33,92.64
34,89.66
35,91.59
36,93.39
37,93.3
38,93.71
39,93.4
40,92.96
41,92.67
42,92.95
43,92.81
44,92.96
45,92.77
46,93.85
47,93.55
48,93.15
49,93.38
50,92.67
51,93.89
52,93.76
53,93.18
54,93.16
55,92.38
56,92.84
57,93.36
58,92.9
59,97.54
60,97.61
