Time (sec),Watt
1,95.17
2,95.28
3,94.34
4,95.18
5,95.47
6,95.4
7,95.4
8,95.25
9,95.65
10,95.22
11,94.82
12,95.43
13,94.8
14,94.8
15,94.72
16,95.53
17,94.39
18,94.65
19,94.09
20,93.9
21,93.87
22,93.87
23,93.8
24,93.32
25,92.88
26,90.44
27,92.16
28,93.2
29,93.74
30,91.04
31,93.19
32,93.61
33,94.35
34,93.5
35,94.21
36,84.68
37,95.15
38,94.48
39,93.59
40,93.28
41,93.12
42,94.1
43,93.45
44,93.49
45,93.78
46,93.68
47,94.13
48,94.4
49,93.63
50,94.07
51,93.15
52,93.68
53,93.23
54,92.98
55,91.96
56,92.66
57,92.64
58,92.45
59,97.41
60,98.92
