Time (sec),Watt
1,82.33
2,81.4
3,86.22
4,83.01
5,84.34
6,81.68
7,82.01
8,80.43
9,85.59
10,85.25
11,82.88
12,80.24
13,81.12
14,79.6
15,80.17
16,80.57
17,85.21
18,81.44
19,79.81
20,79.35
21,80.02
22,79.34
23,79.63
24,83.79
25,80.63
26,78.8
27,79.82
28,80
29,83.17
30,83.12
31,83.42
32,81.17
33,80.56
34,79.64
35,81.13
36,81.13
37,85.21
38,80.96
39,80.23
40,79.88
41,80.34
42,83.59
43,86.04
44,83.82
45,79.75
46,79.4
47,81.28
48,80.66
49,84.63
50,85.78
51,81.35
52,81.35
53,79.87
54,79.64
55,79.94
56,81.74
57,84.15
58,81.86
59,79.82
60,83.57
