Time (sec),Watt
1,86.33
2,86.29
3,86.67
4,86.26
5,86.02
6,86.27
7,86.63
8,86
9,88.43
10,87.09
11,85.63
12,85.22
13,85.74
14,85.36
15,85.2
16,85.2
17,85.59
18,85.7
19,85.43
20,84.8
21,84.82
22,84.73
23,83.91
24,84.22
25,84.29
26,83.63
27,83.63
28,83.54
29,84.63
30,84.75
31,85.05
32,86.28
33,85.53
34,85.67
35,84.83
36,85.53
37,85.49
38,85.33
39,84.86
40,86.06
41,85.07
42,84.84
43,84.59
44,84.89
45,85.08
46,85.22
47,84.88
48,85.51
49,84.48
50,85.39
51,84.91
52,84.83
53,85.19
54,85.31
55,84.78
56,84.78
57,84.01
58,84.4
59,84.21
60,84.36
