Time (sec),Watt
1,93.26
2,93.62
3,91.42
4,90.72
5,87.44
6,90.2
7,90.6
8,86.69
9,86.81
10,89.6
11,90.82
12,90.93
13,90.81
14,87.37
15,85.93
16,87.38
17,87.31
18,87.81
19,91.32
20,87.29
21,88.75
22,90.22
23,87.64
24,85.7
25,84.65
26,85.37
27,84.5
28,84.32
29,85.62
30,85.62
31,85.05
32,86.89
33,86.09
34,85.98
35,85.14
36,87.31
37,90.43
38,87.95
39,86.19
40,85.01
41,85.92
42,86.56
43,88.53
44,87.73
45,86.65
46,86.48
47,89.45
48,89.94
49,90.38
50,89.05
51,86.69
52,87.69
53,90.28
54,91.56
55,89.59
56,85.83
57,85.66
58,86.38
59,94.51
60,94.03
